RRi,RRii,RRi_interp,RRii_interp,freqs,periodogram,low_power,high_power,activitytype_daytime,activitytype,activitytype_interp,activitytype_daytime_interp,steps_daytime,steps,steps_interp,steps_daytime_interp,hr_daytime,hr,hr_interp,hr_daytime_interp,rMSSD,pNN50,Median,gt180,act_silent_percentage,act_walking_percentage,act_running_percentage,act_nonWear_percentage,act_REM_percentage,act_NREM_percentage,act_charging_percentage,act_undefined_percentage,act_silent_percentage_allday,act_walking_percentage_allday,act_running_percentage_allday,act_nonWear_percentage_allday,act_REM_percentage_allday,act_NREM_percentage_allday,act_charging_percentage_allday,act_undefined_percentage_allday
79,74,79,79,0.013969397,5215.444176,,,17.36138889,5,5,17.36138889,17.36138889,0,0,17.36138889,24.98829611,79,79,17.36138889,,,,,,,,,,,,,,,,,,,,
74,68,79,79,0.014018402,5227.122988,,,17.37805556,5,5,17.37805556,17.37805556,0,0,17.37805556,24.99228778,74,79,17.37805556,,,,,,,,,,,,,,,,,,,,
68,70,79,79,0.014067407,5238.856962,,,17.39472222,4,4,17.39472222,17.39472222,0,0,17.39472222,25.00037056,68,79,17.39472222,,,,,,,,,,,,,,,,,,,,
70,72,79,79,0.014116412,5250.646226,,,17.41138889,5,5,17.41138889,17.41138889,0,0,17.41138889,25.00185583,70,79,17.41138889,,,,,,,,,,,,,,,,,,,,
72,73,79,79,0.014165417,5262.49091,,,17.42805556,5,5,17.42805556,17.42805556,0,0,17.42805556,25.00186583,72,79,17.42805556,,,,,,,,,,,,,,,,,,,,
73,74,79,79,0.014214421,5274.391144,,,17.44472222,5,5,17.44472222,17.44472222,0,0,17.44472222,25.00187361,73,79,17.44472222,,,,,,,,,,,,,,,,,,,,
74,75,79,79,0.014263426,5286.347056,,,17.46138889,5,5,17.46138889,17.46138889,0,0,17.46138889,25.00188139,74,79,17.46138889,,,,,,,,,,,,,,,,,,,,
75,79,79,79,0.014312431,5298.358777,,,17.47805556,5,5,17.47805556,17.47805556,0,0,17.47805556,25.00188611,75,79,17.47805556,,,,,,,,,,,,,,,,,,,,
79,73,79,79,0.014361436,5310.426434,,,17.49472222,5,5,17.49472222,17.49472222,0,0,17.49472222,25.00189111,79,79,17.49472222,,,,,,,,,,,,,,,,,,,,
73,74,79,79,0.014410441,5322.550158,,,17.51138889,5,5,17.51138889,17.51138889,0,0,17.51138889,25.00189639,73,79,17.51138889,,,,,,,,,,,,,,,,,,,,
74,66,79,79,0.014459446,5334.730079,,,17.52805556,5,5,17.52805556,17.52805556,0,0,17.52805556,25.00589417,74,79,17.52805556,,,,,,,,,,,,,,,,,,,,
66,67,79,79,0.014508451,5346.966324,,,17.54472222,5,5,17.54472222,17.54472222,0,0,17.54472222,25.00796806,66,79,17.54472222,,,,,,,,,,,,,,,,,,,,
67,66,79,79,0.014557456,5359.259025,,,17.56138889,5,5,17.56138889,17.56138889,0,0,17.56138889,25.00917861,67,79,17.56138889,,,,,,,,,,,,,,,,,,,,
66,67,79,79,0.014606461,5371.608309,,,17.57805556,5,5,17.57805556,17.57805556,0,0,17.57805556,25.01091667,66,79,17.57805556,,,,,,,,,,,,,,,,,,,,
67,69,79,79,0.014655466,5384.014307,,,17.59472222,5,5,17.59472222,17.59472222,0,0,17.59472222,25.01177139,67,79,17.59472222,,,,,,,,,,,,,,,,,,,,
69,70,79,79,0.01470447,5396.477147,,,17.61138889,5,5,17.61138889,17.61138889,0,0,17.61138889,25.01229083,69,79,17.61138889,,,,,,,,,,,,,,,,,,,,
70,69,79,79,0.014753475,5408.99696,,,17.62805556,5,5,17.62805556,17.62805556,0,0,17.62805556,25.0140075,70,79,17.62805556,,,,,,,,,,,,,,,,,,,,
69,68,79,79,0.01480248,5421.573873,,,17.64472222,5,5,17.64472222,17.64472222,0,0,17.64472222,25.01402611,69,79,17.64472222,,,,,,,,,,,,,,,,,,,,
68,69,79,79,0.014851485,5434.208017,,,17.66138889,5,5,17.66138889,17.66138889,0,0,17.66138889,25.01453889,68,79,17.66138889,,,,,,,,,,,,,,,,,,,,
69,68,79,79,0.01490049,5446.899521,,,17.67805556,5,5,17.67805556,17.67805556,0,0,17.67805556,25.01471194,69,79,17.67805556,,,,,,,,,,,,,,,,,,,,
68,67,79,79,0.014949495,5459.648513,,,17.69472222,5,5,17.69472222,17.69472222,0,0,17.69472222,25.01574833,68,79,17.69472222,,,,,,,,,,,,,,,,,,,,
67,79,79,79,0.0149985,5472.455123,,,17.71138889,5,5,17.71138889,17.71138889,0,0,17.71138889,25.01748278,67,79,17.71138889,,,,,,,,,,,,,,,,,,,,
79,79,79,79,0.015047505,5485.31948,,,17.72805556,5,5,17.72805556,17.72805556,0,0,17.72805556,25.02647,79,79,17.72805556,,,,,,,,,,,,,,,,,,,,
79,79,79,79,0.01509651,5498.241712,,,17.74472222,4,4,17.74472222,17.74472222,0,0,17.74472222,25.02818111,79,79,17.74472222,,,,,,,,,,,,,,,,,,,,
79,79,79,79,0.015145515,5511.221949,,,17.76138889,4,4,17.76138889,17.76138889,17,17,17.76138889,25.02819694,79,79,17.76138889,,,,,,,,,,,,,,,,,,,,
79,69,79,79,0.015194519,5524.260319,,,17.77805556,5,5,17.77805556,17.77805556,0,0,17.77805556,25.02820889,79,79,17.77805556,,,,,,,,,,,,,,,,,,,,
69,70,79,79,0.015243524,5537.356951,,,17.79472222,4,4,17.79472222,17.79472222,0,0,17.79472222,25.0283725,69,79,17.79472222,,,,,,,,,,,,,,,,,,,,
70,69,79,79,0.015292529,5550.511974,,,17.81138889,4,4,17.81138889,17.81138889,0,0,17.81138889,25.02906389,70,79,17.81138889,,,,,,,,,,,,,,,,,,,,
69,68,79,79,0.015341534,5563.725516,,,17.82805556,5,5,17.82805556,17.82805556,0,0,17.82805556,25.030965,69,79,17.82805556,,,,,,,,,,,,,,,,,,,,
68,67,79,79,0.015390539,5576.997705,,,17.84472222,5,5,17.84472222,17.84472222,0,0,17.84472222,25.03186167,68,79,17.84472222,,,,,,,,,,,,,,,,,,,,
67,68,79,79,0.015439544,5590.32867,,,17.86138889,5,5,17.86138889,17.86138889,0,0,17.86138889,25.03234833,67,79,17.86138889,,,,,,,,,,,,,,,,,,,,
68,67,79,79,0.015488549,5603.718539,,,17.87805556,5,5,17.87805556,17.87805556,0,0,17.87805556,25.03459639,68,79,17.87805556,,,,,,,,,,,,,,,,,,,,
67,66,79,79,0.015537554,5617.16744,,,17.89472222,4,4,17.89472222,17.89472222,0,0,17.89472222,25.03598028,67,79,17.89472222,,,,,,,,,,,,,,,,,,,,
66,68,79,79,0.015586559,5630.675502,,,17.91138889,5,5,17.91138889,17.91138889,0,0,17.91138889,25.03719,66,79,17.91138889,,,,,,,,,,,,,,,,,,,,
